method,evaluations,hv_mean,hv_std,igd_mean,igd_std,n
NSGA-II,28,1.0877991091679058,0.06103769351526686,0.11653120977626344,0.015324274768941487,15
NSGA-II,56,1.135918638856157,0.02972121006160585,0.09822552389836679,0.014427491080098592,15
NSGA-II,84,1.1550147963748607,0.027653380439630827,0.08767188524194104,0.012284456809487077,15
NSGA-II,112,1.166242158393871,0.027383277248985576,0.08043220757068051,0.01375748333822483,15
NSGA-II,140,1.1728476464966455,0.02421394236783354,0.07661741867318711,0.013316063123424772,15
NSGA-II,168,1.1788172166528494,0.021395449368487272,0.07472226085281883,0.010639127185352556,15
NSGA-II,196,1.1834820339902117,0.01972759401039195,0.07195007307065869,0.010193913614264836,15
NSGA-II,224,1.1915493162041844,0.019938371079663095,0.06943898065530157,0.009351577180816186,15
NSGA-II,252,1.1933096591898509,0.021095872805105057,0.06995780424323488,0.008807724180590913,15
NSGA-II,280,1.197236167548764,0.018458037917219415,0.07011027403629098,0.011361482506821386,15
NSGA-III,28,1.0622665834079301,0.07281000959212021,0.12917987579770174,0.019281039693895836,15
NSGA-III,56,1.1031250741121503,0.03200900894206117,0.11093888671561228,0.014259815079344906,15
NSGA-III,84,1.119042645988311,0.02533832738908952,0.10139616248600594,0.014911113336405959,15
NSGA-III,112,1.129681141171858,0.02646951724268349,0.09356241897534462,0.015394259339836989,15
NSGA-III,140,1.1362294196327436,0.027672064495663944,0.08928279525799486,0.015381273964975918,15
NSGA-III,168,1.1406072261024782,0.02631592032877066,0.08433167398232165,0.015084936606607572,15
NSGA-III,196,1.144736906583685,0.02487100225010226,0.08331007860775534,0.013412505873738035,15
NSGA-III,224,1.1472657521104503,0.025586786565739286,0.08225755894832794,0.013474339975250129,15
NSGA-III,252,1.1514379429586605,0.027649597652735558,0.08147544637454816,0.01458412736070016,15
NSGA-III,280,1.157910513211642,0.02441866008265692,0.08015285776296925,0.014387786129322738,15
Random,28,1.045499811605756,0.06113064174878959,0.13684607044805885,0.01772861591842094,15
Random,56,1.0889406376728374,0.025985242816707766,0.12139485245299424,0.014895436177977044,15
Random,84,1.1012452056415158,0.02295514310367241,0.1145188475123517,0.0112526668825889,15
Random,112,1.1162607623657008,0.020635073295945293,0.10515412002766103,0.010893514287792123,15
Random,140,1.122770634642253,0.01877391311066682,0.10083347720142027,0.010930485079387198,15
Random,168,1.128642604825747,0.014413608502223509,0.09644856918149616,0.011776419422492726,15
Random,196,1.1328467149590618,0.015036086609640308,0.09517536129800723,0.00991989989933031,15
Random,224,1.1352524305370362,0.014896509130977193,0.09275182969174225,0.010183569562606671,15
Random,252,1.1392059136381438,0.015292454367389512,0.09356937792541306,0.012626627249189632,15
Random,280,1.1410185303699174,0.016368085043659025,0.09219805469528569,0.01319026612105057,15
