method,run,evaluations,hypervolume,IGD
NSGA-II,5,252,1.1802290154727135,0.06569871116855024
NSGA-II,5,280,1.1871685144586328,0.06211390694312239
NSGA-II,6,28,0.9433954742837044,0.1312563999514186
NSGA-II,6,56,1.149491248461461,0.11189015730725996
NSGA-II,6,84,1.1828098458132699,0.10230440379190553
NSGA-II,6,112,1.1948249872331598,0.07777987868463407
NSGA-II,6,140,1.198503394958792,0.07970174855593534
NSGA-II,6,168,1.199218091159046,0.08085255044682478
NSGA-II,6,196,1.212357336321084,0.07303229354640424
NSGA-II,6,224,1.2216774552919205,0.06174127706283634
NSGA-II,6,252,1.2230194188581391,0.0617411597097582
NSGA-II,6,280,1.2230481245764953,0.0617411597097582
NSGA-II,7,28,1.0398952615417392,0.1438400884450784
NSGA-II,7,56,1.0719319927785507,0.13198016867376836
NSGA-II,7,84,1.0864036549206082,0.12193851024483317
NSGA-II,7,112,1.0895952185324969,0.12193851024483317
NSGA-II,7,140,1.1082165271704363,0.11480931706945295
NSGA-II,7,168,1.1269011231772543,0.1017319267378579
NSGA-II,7,196,1.1341475510535313,0.09617808496255845
NSGA-II,7,224,1.1607838271736899,0.09145800425490082
NSGA-II,7,252,1.1634160294864082,0.08401056495218065
NSGA-II,7,280,1.1662895306484273,0.08206501911458454
NSGA-II,8,28,1.146994065222479,0.1080630601111837
NSGA-II,8,56,1.186357221014335,0.10384886049421738
NSGA-II,8,84,1.1880204561547618,0.09704803442041156
NSGA-II,8,112,1.189596899869717,0.08122240189757854
NSGA-II,8,140,1.1909491636134883,0.07157764244672202
NSGA-II,8,168,1.1922163863261568,0.06711588894362791
NSGA-II,8,196,1.1948421642458966,0.06950120103082771
NSGA-II,8,224,1.194996318602846,0.06943335599104714
NSGA-II,8,252,1.1955204008140257,0.0669983365511552
NSGA-II,8,280,1.1964691756241927,0.0669983365511552
NSGA-II,9,28,1.100317646485891,0.12797673297012874
NSGA-II,9,56,1.1083515402084776,0.097574250669245
NSGA-II,9,84,1.1374248297640288,0.08240233674894325
NSGA-II,9,112,1.1399094627160848,0.08109015513881015
NSGA-II,9,140,1.1501169241777525,0.07170343821594248
NSGA-II,9,168,1.1501169241777525,0.07170343821594248
NSGA-II,9,196,1.154591796214624,0.07341818400282529
NSGA-II,9,224,1.154591796214624,0.07341818400282529
NSGA-II,9,252,1.1554007408297724,0.07303061215414981
NSGA-II,9,280,1.1811408689421432,0.09205353470886393
NSGA-II,10,28,1.1024753992976277,0.11534653624543637
NSGA-II,10,56,1.1237654936282835,0.09689712025736244
NSGA-II,10,84,1.160043395611588,0.08798093850346031
NSGA-II,10,112,1.1702282621243825,0.06708564607268544
NSGA-II,10,140,1.1709972260778376,0.06708564607268544
NSGA-II,10,168,1.1804211797280582,0.06400384454190011
NSGA-II,10,196,1.1805456951310414,0.06400384454190011
NSGA-II,10,224,1.1810359652304205,0.06400384454190011
NSGA-II,10,252,1.1810359652304205,0.06400384454190011
NSGA-II,10,280,1.1824623274334058,0.06313401017831544
NSGA-II,11,28,1.0852307378549202,0.10767676882525434
NSGA-II,11,56,1.1351570024548339,0.08950654891593826
NSGA-II,11,84,1.1610924209451476,0.07387363012781312
NSGA-II,11,112,1.179958193484722,0.06725235543985816
NSGA-II,11,140,1.1851287709324974,0.061641078683330144
NSGA-II,11,168,1.185967612276684,0.06269524962130343
NSGA-II,11,196,1.1866609888924922,0.059873840443332126
NSGA-II,11,224,1.1879844331615685,0.059873840443332126
