stage,epoch,train_loss,validation_macro_MAPE,seed
teacher,1,0.42554453015327454,6.9027429985643,42
teacher,2,0.2917519748210907,5.726677831887524,42
teacher,3,0.21778639853000642,5.102614472555853,42
teacher,4,0.16410516798496247,4.399340986058518,42
teacher,5,0.13873595893383026,4.049671785134076,42
teacher,6,0.10648937076330185,3.7736687261770827,42
teacher,7,0.0755108617246151,3.0722653132173505,42
teacher,8,0.05281675234436989,2.910437107440964,42
teacher,9,0.04225418530404568,2.9850171781468724,42
teacher,10,0.03927506804466248,2.8584422341685647,42
teacher,11,0.030973563343286513,2.67472154826421,42
teacher,12,0.027224930003285408,2.508953055549804,42
teacher,13,0.025656187161803245,2.3679365435869255,42
teacher,14,0.02302338294684887,2.432182601280191,42
teacher,15,0.022492172941565514,2.4168572896709124,42
teacher,16,0.01911967433989048,2.364706291681006,42
teacher,17,0.018411349132657052,2.406027839959337,42
teacher,18,0.016528468392789365,2.3064240146074706,42
teacher,19,0.01684870235621929,2.363119707922372,42
teacher,20,0.015523660741746426,2.224113456394483,42
teacher,21,0.01585112400352955,2.383478489249036,42
teacher,22,0.014893419481813908,2.2735272334930867,42
teacher,23,0.014998698979616166,2.210813196150739,42
teacher,24,0.01474657580256462,2.387572446999015,42
teacher,25,0.013966303691267968,2.2879283201206624,42
teacher,26,0.012954704836010933,2.4085845797410688,42
teacher,27,0.01314769946038723,2.2672552418850156,42
teacher,28,0.0121776282787323,2.237364554831241,42
teacher,29,0.01213731113821268,2.0676279464741265,42
teacher,30,0.012475274316966534,2.202798266486736,42
teacher,31,0.012094327248632908,2.1464967984684984,42
teacher,32,0.012498138286173344,2.080802917055583,42
teacher,33,0.012085453793406486,2.1360281974302637,42
teacher,34,0.011048698052763938,1.7659460963061422,42
teacher,35,0.011152362637221813,2.0627588675706328,42
teacher,36,0.01042967364192009,2.0167764717323644,42
teacher,37,0.01017211116850376,1.9980412843086914,42
teacher,38,0.00935497572645545,1.8649222780395607,42
teacher,39,0.009965464659035205,1.9780038951262051,42
teacher,40,0.009825695864856243,2.00501545273122,42
teacher,41,0.008887807652354241,1.8244961406924316,42
teacher,42,0.009707080014050008,1.941862163337719,42
teacher,43,0.00866539841517806,1.8878681421560142,42
teacher,44,0.009031113144010306,1.9543016876760766,42
teacher,45,0.00930311270058155,1.948602086846793,42
teacher,46,0.008627895824611187,1.9221145243597704,42
teacher,47,0.009635166078805924,2.1065300442770756,42
teacher,48,0.009157746098935604,1.8296472071378547,42
teacher,49,0.009042219817638397,1.9391641015153107,42
teacher,50,0.008433072548359632,1.8561694691045802,42
teacher,51,0.009380588494241237,1.8679769115386988,42
teacher,52,0.00774013577029109,1.833566304990451,42
teacher,53,0.008198477886617183,2.03107972985594,42
teacher,54,0.008467371948063374,1.8695346237676986,42
teacher,55,0.008930357359349727,1.8559118115782378,42
teacher,56,0.007820961624383926,1.8024513716845536,42
teacher,57,0.00872094351798296,1.9115597100378556,42
teacher,58,0.008637896925210952,1.808213527493839,42
teacher,59,0.007870263699442149,2.067380000055013,42
teacher,60,0.008724885061383247,1.9630094337752393,42
teacher,61,0.008034421782940625,1.8949690514018975,42
teacher,62,0.008098418824374676,1.8733283615640375,42
teacher,63,0.00801860811188817,1.9237540670972804,42
teacher,64,0.0074864902533590795,1.8295015256968672,42
teacher,65,0.007850859872996807,1.8905492975767557,42
teacher,66,0.007640866469591856,1.8573919345616492,42
teacher,67,0.007297216542065143,2.0299137730265038,42
teacher,68,0.008968812134116887,1.9226951075871987,42
teacher,69,0.008866680320352316,1.9203658366959053,42
teacher,70,0.008306658919900655,1.784025298855453,42
teacher,71,0.007522941660135984,1.9501844879472698,42
teacher,72,0.008719116728752852,1.8094501383289672,42
teacher,73,0.007687342446297407,1.8539767010296324,42
teacher,74,0.007986743468791246,1.899247143256512,42
rollout,0,,3.3269641426467373,42
rollout,1,0.2728565037250519,3.9537128511582296,42
rollout,2,0.208944171667099,5.242758635024183,42
rollout,3,0.1608249396085739,6.754314380418217,42
rollout,4,0.12901561707258224,8.267136453369574,42
rollout,5,0.10563714057207108,9.511629165785148,42
rollout,6,0.08226624876260757,10.413159402721993,42
rollout,7,0.07662099786102772,10.9869771306751,42
rollout,8,0.06963716074824333,11.275277115207961,42
rollout,9,0.06677692383527756,11.21219445601638,42
rollout,10,0.06495236046612263,10.881437657426416,42
rollout,11,0.057261962443590164,10.410108337282402,42
rollout,12,0.04941990599036217,9.86796581029483,42
rollout,13,0.05065503157675266,9.40524133353814,42
rollout,14,0.049013882875442505,9.024129261667106,42
rollout,15,0.04729358293116093,8.80976431055004,42
teacher,1,0.33003814816474913,6.263976010363049,52
teacher,2,0.2211267501115799,5.262766314106841,52
teacher,3,0.16258373856544495,5.020955651473049,52
teacher,4,0.13180580288171767,4.912076701853238,52
teacher,5,0.1023426502943039,4.30390247721318,52
teacher,6,0.07907517403364181,3.825640655648917,52
teacher,7,0.0560942716896534,3.252550581970521,52
teacher,8,0.044744308292865756,2.980593270251366,52
teacher,9,0.03822661861777306,2.899080308980265,52
teacher,10,0.032958194613456726,2.772557620521715,52
teacher,11,0.031912853196263316,2.514578540504168,52
teacher,12,0.02607088312506676,2.255001111792053,52
teacher,13,0.024020147696137428,2.0938894287248506,52
teacher,14,0.020352647826075553,1.8935943067448409,52
teacher,15,0.020686878263950347,1.9921357520798475,52
teacher,16,0.020603696629405022,1.8563958714697169,52
teacher,17,0.018478232249617577,1.909802031884274,52
teacher,18,0.016237720474600793,1.9551562815230035,52
teacher,19,0.01636500470340252,1.768763882923508,52
teacher,20,0.01566140279173851,1.8939348988923546,52
teacher,21,0.01364325899630785,1.7080549601016883,52
teacher,22,0.01349144298583269,1.675501232367853,52
teacher,23,0.012654144316911697,1.7270768322318324,52
teacher,24,0.01242962684482336,1.5901339512157218,52
teacher,25,0.012345086969435214,1.613277725683266,52
teacher,26,0.011710225977003575,1.5710854412852537,52
teacher,27,0.010740229114890098,1.5455718587882186,52
teacher,28,0.011193188279867173,1.4597713308533171,52
teacher,29,0.010840429738163949,1.4731900776584852,52
teacher,30,0.009915989451110363,1.5415365891606276,52
teacher,31,0.010797193180769682,1.4356475795808812,52
teacher,32,0.01037187473848462,1.6163136476744895,52
teacher,33,0.011034043692052364,1.3294126564818423,52
teacher,34,0.00969970365986228,1.5176728277249913,52
teacher,35,0.009815106634050608,1.4235999105116668,52
teacher,36,0.00944108869880438,1.461542178515237,52
teacher,37,0.010228627361357212,1.5703580145345404,52
teacher,38,0.009666097071021795,1.2746380926012426,52
teacher,39,0.009485126286745072,1.3980285828434345,52
teacher,40,0.009244351834058761,1.391258748867422,52
