fold,variant,protocol,target,MAPE,RMSE,R2,n_eval_rows,n_heldout_cells,seconds,features
2,LSTM_main_full9_rollout,autoregressive_rollout,Q,3.8173433290713756,0.1250901797949267,0.8532954965090084,168,46,7.544311046600342,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
2,LSTM_main_full9_rollout,autoregressive_rollout,Re,1.4332695344493742,0.3572218000027621,0.9772590274652501,168,46,7.544311046600342,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
2,LSTM_main_full9_rollout,autoregressive_rollout,macro_avg,2.625306431760375,0.2411559898988444,0.9152772619871292,168,46,7.544311046600342,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
2,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,Q,4.721320826206562,0.18230623984757813,0.6883981125288583,168,46,10.478650331497192,"k_exp,Re0"
2,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,Re,0.7224781006794144,0.20310292223189225,0.9926486776142284,168,46,10.478650331497192,"k_exp,Re0"
2,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,macro_avg,2.7218994634429885,0.1927045810397352,0.8405233950715434,168,46,10.478650331497192,"k_exp,Re0"
2,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,Q,4.160543815265878,0.1616375074939973,0.7550478238285223,168,46,9.499062538146973,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
2,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,Re,0.6254594872230166,0.22244419943508514,0.991181894399579,168,46,9.499062538146973,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
2,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,macro_avg,2.393001651244447,0.19204085346454122,0.8731148591140507,168,46,9.499062538146973,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
2,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,Q,3.9803209581562764,0.13920060892669103,0.8183316454688601,168,46,8.103401899337769,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
2,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,Re,1.2275951074025122,0.32400945415113547,0.9812910898327564,168,46,8.103401899337769,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
2,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,macro_avg,2.6039580327793943,0.23160503153891326,0.8998113676508082,168,46,8.103401899337769,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
2,PINN_pred_full9,pointwise,Q,5.653517984376872,0.18342456580972513,0.609738688849989,815,46,3.1892244815826416,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
2,PINN_pred_full9,pointwise,Re,9.172824387589682,2.193848786584401,0.4601065871323512,815,46,3.1892244815826416,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
2,PINN_pred_full9,pointwise,macro_avg,7.413171185983277,1.1886366761970633,0.5349226379911701,815,46,3.1892244815826416,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
2,PINN_phys_full9,pointwise,Q,6.472641956873263,0.21210954444278582,0.4781316938515733,815,46,3.687621831893921,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
2,PINN_phys_full9,pointwise,Re,9.066724757058369,2.053799201771896,0.5268371814788879,815,46,3.687621831893921,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
2,PINN_phys_full9,pointwise,macro_avg,7.769683356965816,1.1329543731073408,0.5024844376652307,815,46,3.687621831893921,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
3,LSTM_main_full9_teacher_forced,teacher_forced,Q,1.1502598832729298,0.04745739997136718,0.96212775159439,171,46,12.403945207595825,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
3,LSTM_main_full9_teacher_forced,teacher_forced,Re,0.42566500620406555,0.10096487037670537,0.9933358285716571,171,46,12.403945207595825,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
3,LSTM_main_full9_teacher_forced,teacher_forced,macro_avg,0.7879624447384976,0.07421113517403627,0.9777317900830236,171,46,12.403945207595825,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
3,LSTM_main_full9_rollout,autoregressive_rollout,Q,1.4288234428473376,0.05736106025699001,0.9446716718358731,171,46,12.756344079971313,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
3,LSTM_main_full9_rollout,autoregressive_rollout,Re,0.4952654626433201,0.1191243525246056,0.9907230186724488,171,46,12.756344079971313,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
3,LSTM_main_full9_rollout,autoregressive_rollout,macro_avg,0.9620444527453289,0.0882427063907978,0.967697345254161,171,46,12.756344079971313,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
3,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,Q,2.3832431575971014,0.10633113813968653,0.8098772304771958,171,46,15.113110780715942,"k_exp,Re0"
3,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,Re,0.37691270891056927,0.12114794396399191,0.9904051614317279,171,46,15.113110780715942,"k_exp,Re0"
3,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,macro_avg,1.3800779332538353,0.11373954105183923,0.9001411959544618,171,46,15.113110780715942,"k_exp,Re0"
3,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,Q,2.320149247335943,0.1010217322310376,0.8283899059299225,171,46,14.722706317901611,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
3,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,Re,0.8634628529093972,0.48655590153288614,0.8452356010779986,171,46,14.722706317901611,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
3,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,macro_avg,1.59180605012267,0.29378881688196185,0.8368127535039604,171,46,14.722706317901611,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
3,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,Q,2.2165811609371655,0.09301105880652884,0.8545270038464561,171,46,9.680821418762207,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
3,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,Re,1.0526141690169504,0.3436350082581089,0.9228030077582386,171,46,9.680821418762207,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
