seed,repeat,ms_per_trajectory
42,1,11.81361310000284
42,2,12.869943800001238
42,3,12.415945400005057
42,4,12.324856500003989
42,5,12.618982199990114
42,6,12.335135399996489
42,7,12.546778399996583
42,8,13.279759399995328
42,9,12.122705599995243
42,10,12.49327960000528
42,11,12.816438599998037
42,12,12.994583200008947
42,13,13.083758799996303
42,14,12.857582499998443
42,15,12.979635500005315
42,16,14.236112700007197
42,17,14.216591499996412
42,18,12.874744799989912
42,19,12.850693699999738
42,20,12.516392700001688
42,21,12.440155799993136
42,22,12.391336799998953
42,23,13.429819999998927
42,24,12.626093400001537
42,25,14.096090900000036
42,26,13.655628499998329
42,27,12.223931699998047
42,28,12.12635470000123
42,29,12.267699799997445
42,30,12.500915999999052
42,31,12.087623000002168
42,32,12.533126300002095
42,33,12.628612100002101
42,34,12.90873630000533
42,35,12.478184499991585
42,36,12.459475299999667
42,37,12.2549324999909
42,38,12.235756200004744
42,39,12.450009500003034
42,40,12.542609900003754
42,41,12.467785700005152
42,42,12.626634900004774
42,43,12.196413599997413
42,44,12.171090399999684
42,45,12.150314199993772
42,46,12.25041870000041
42,47,12.61949759999652
42,48,12.415183900009197
42,49,12.41639339999665
42,50,12.767647900000156
42,51,12.536022699998739
42,52,12.22932350000292
42,53,12.469248399997923
42,54,12.314088699997683
42,55,12.47778690000132
42,56,12.359870800003137
42,57,12.588277600002584
42,58,12.857357799998681
42,59,12.489763399992171
42,60,12.625633100003597
42,61,13.369483600001786
42,62,12.885396799993032
42,63,12.191823399996338
42,64,12.605301300004612
42,65,12.225935399999344
42,66,12.415895599997384
42,67,12.386618699997598
42,68,12.499726499993358
42,69,13.404687299998841
42,70,14.08447230001002
42,71,14.015386600010515
42,72,12.508724199994958
42,73,12.432748300000185
42,74,12.489213099991048
42,75,12.331648899998982
42,76,12.003618100004587
42,77,11.941990499997246
42,78,11.999607699999615
42,79,12.552143499999602
42,80,12.388868099992578
42,81,12.408786800006055
42,82,12.247184800003197
42,83,12.255110600005992
42,84,12.294911399999364
42,85,12.007588100004796
42,86,12.023078400000031
42,87,12.061599900005149
42,88,12.19087300000865
42,89,12.464286199997332
42,90,12.42757720000327
42,91,12.124268900004154
42,92,12.109455199993135
42,93,12.088629800007311
42,94,11.865587599993432
42,95,12.043703499989533
42,96,12.16051989999869
42,97,12.07149770000342
42,98,12.372875799997018
42,99,12.182878600003733
42,100,12.402641400001357
52,1,12.457034200008366
52,2,12.86296629999697
52,3,12.451806099988971
52,4,12.695378599994456
52,5,12.389745999996649
