epoch,train_loss,validation_loss,learning_rate,seed
1,0.94090935587883,0.8327506184577942,0.0007,42
2,0.25682778656482697,0.7298101782798767,0.0007,42
3,0.17377636581659317,0.6088365912437439,0.0007,42
4,0.13849657773971558,0.5887392163276672,0.0007,42
5,0.09652221947908401,0.6182423233985901,0.0007,42
6,0.12505178898572922,0.5249882340431213,0.0007,42
7,0.08929040655493736,0.3599327504634857,0.0007,42
8,0.0745716467499733,0.31125083565711975,0.0007,42
9,0.06246645748615265,0.30531784892082214,0.0007,42
10,0.06156962737441063,0.23563970625400543,0.0007,42
11,0.06633145175874233,0.200077086687088,0.0007,42
12,0.059848103672266006,0.1895337551832199,0.0007,42
13,0.05227674916386604,0.1875734031200409,0.0007,42
14,0.06286382488906384,0.1744217425584793,0.0007,42
15,0.04531370848417282,0.1132846474647522,0.0007,42
16,0.04232899099588394,0.0798657163977623,0.0007,42
17,0.051110152155160904,0.08819115161895752,0.0007,42
18,0.04047771729528904,0.08965315669775009,0.0007,42
19,0.05615520477294922,0.09019389748573303,0.0007,42
20,0.039320338517427444,0.08225509524345398,0.0007,42
21,0.04023098386824131,0.08259990066289902,0.0007,42
22,0.046322956681251526,0.09089884907007217,0.0007,42
23,0.04296237975358963,0.0890907272696495,0.0007,42
24,0.035276624374091625,0.06584329158067703,0.0007,42
25,0.04906880296766758,0.0558578222990036,0.0007,42
26,0.05302492715418339,0.06536628305912018,0.0007,42
27,0.04241163097321987,0.06696714460849762,0.0007,42
28,0.04387717880308628,0.06798428297042847,0.0007,42
29,0.032646650448441505,0.07250106334686279,0.0007,42
30,0.04214097559452057,0.06740383058786392,0.0007,42
31,0.03949757106602192,0.060600534081459045,0.0007,42
32,0.03707055374979973,0.06183675676584244,0.0007,42
33,0.038827283307909966,0.07070000469684601,0.0007,42
34,0.03534949570894241,0.08550811558961868,0.0007,42
35,0.05161401256918907,0.04944303631782532,0.0007,42
36,0.035945355892181396,0.0339476577937603,0.0007,42
37,0.03222438506782055,0.034965161234140396,0.0007,42
38,0.037567026913166046,0.04752086102962494,0.0007,42
39,0.04110679402947426,0.05803545564413071,0.0007,42
40,0.0415777750313282,0.038659144192934036,0.0007,42
41,0.031420634128153324,0.031083673238754272,0.0007,42
42,0.04016212932765484,0.03305536136031151,0.0007,42
43,0.03509646654129028,0.05133849009871483,0.0007,42
44,0.03204774856567383,0.07389224320650101,0.0007,42
45,0.037770556285977364,0.052998047322034836,0.0007,42
46,0.03645770065486431,0.03811580687761307,0.0007,42
47,0.0339879784733057,0.0422230064868927,0.0007,42
48,0.028095414862036705,0.04999154061079025,0.0007,42
49,0.03472238406538963,0.0503324531018734,0.0007,42
50,0.03859752602875233,0.04838543385267258,0.0007,42
51,0.037174126133322716,0.04195040091872215,0.0007,42
52,0.028620043769478798,0.043701525777578354,0.00035,42
53,0.03713225573301315,0.03923657909035683,0.00035,42
54,0.033525425009429455,0.03408779576420784,0.00035,42
55,0.03370732627809048,0.031971100717782974,0.00035,42
56,0.03343490883708,0.03066764771938324,0.00035,42
57,0.027544124983251095,0.030645281076431274,0.00035,42
58,0.027453397400677204,0.0341465026140213,0.00035,42
59,0.029334652237594128,0.04016082361340523,0.00035,42
60,0.031737918965518475,0.04336358234286308,0.00035,42
61,0.03342761658132076,0.046186164021492004,0.00035,42
