variant,protocol,target,mean_MAPE,std_MAPE,mean_RMSE,std_RMSE,mean_R2,std_R2,folds,mean_eval_rows
LSTM_main_full9_teacher_forced,teacher_forced,Q,2.003414689782639,1.0504972172615794,0.07233326971392892,0.03302792138729368,0.9314604671660074,0.03974738523147405,5,165.4
LSTM_main_full9_rollout,autoregressive_rollout,Q,2.2827452663336603,1.022976684558208,0.08154597274610305,0.03190866018601085,0.9133732144391775,0.04034186786520917,5,165.4
PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,Q,2.8884845218172956,0.9629804619752893,0.10331831536859273,0.03199985704226211,0.860416514043939,0.044586418976293,5,165.4
LSTM_sparse_k_Re0_rollout,autoregressive_rollout,Q,3.170660624151238,1.1022174056154772,0.1238768191957326,0.03850550032677988,0.7990682110577254,0.06801313508927506,5,165.4
PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,Q,3.2465914903422517,1.417400004372079,0.1240439876433197,0.03672696119015696,0.7884970032419523,0.08783687052901137,5,165.4
PINN_pred_full9,pointwise,Q,5.700697757511122,0.26954118226629076,0.18556862634776378,0.008845761817991868,0.5684484825319199,0.04109293158813469,5,796.0
PINN_phys_full9,pointwise,Q,6.04631928262126,0.40414258265576475,0.19534893485605848,0.012544648594609095,0.5214835709417622,0.05548366010026614,5,796.0
LSTM_sparse_k_Re0_rollout,autoregressive_rollout,Re,0.5886765345057219,0.33695279481508106,0.1791536359536196,0.12265034556475164,0.9874971921490386,0.011456297940829877,5,165.4
LSTM_main_full9_teacher_forced,teacher_forced,Re,0.9056726258169945,0.4610170576968834,0.2677314173038791,0.13157658044516396,0.9722239027778651,0.018292099401919275,5,165.4
PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,Re,0.9309829457973497,0.7652764335402014,0.3063673632737737,0.2269135785228548,0.9478829052156954,0.0655967648295796,5,165.4
LSTM_main_full9_rollout,autoregressive_rollout,Re,0.9711902697899706,0.4559536777707076,0.2855251076906368,0.13193450477532465,0.9668514573230379,0.025204315984519665,5,165.4
PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,Re,1.286830754614192,0.5915689662083123,0.3754641959537478,0.1923005656440947,0.9161361877850409,0.10934941981707658,5,165.4
PINN_pred_full9,pointwise,Re,9.4201219118639,0.3743490795202425,2.2590076015462097,0.19829389785096582,0.21503730716465083,0.24463849367057736,5,796.0
PINN_phys_full9,pointwise,Re,10.05117285235506,0.7534786913612386,2.3003099602484207,0.19005357125943634,0.18219845975651022,0.25655057956101723,5,796.0
LSTM_main_full9_teacher_forced,teacher_forced,macro_avg,1.4545436577998168,0.7457268718101822,0.17003234350890403,0.08047691981784327,0.9518421849719363,0.024376257277152737,5,165.4
LSTM_main_full9_rollout,autoregressive_rollout,macro_avg,1.6269677680618155,0.7244385075511688,0.18353554021836996,0.07939196562752249,0.9401123358811077,0.026466970922078666,5,165.4
LSTM_sparse_k_Re0_rollout,autoregressive_rollout,macro_avg,1.8796685793284797,0.6866976666209736,0.15151522757467611,0.07346805116056823,0.8932827016033821,0.033799986215385276,5,165.4
PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,macro_avg,2.087657638215744,0.6576238083830522,0.23939125566117028,0.10488632878024139,0.88827635091449,0.06578369367813366,5,165.4
PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,macro_avg,2.0887872180698004,1.0372181848607442,0.21520567545854669,0.12100592144223954,0.8681899542288238,0.04938456435282291,5,165.4
PINN_pred_full9,pointwise,macro_avg,7.560409834687512,0.19515126489070342,1.222288113946987,0.09530466487639855,0.3917428948482854,0.12053611429381679,5,796.0
PINN_phys_full9,pointwise,macro_avg,8.04874606748816,0.29415301342996936,1.2478294475522396,0.0895955561780954,0.35184101534913625,0.11737655647616296,5,796.0
