seed,model,Q_MAPE,Q_RMSE,Q_R2,Re_MAPE,Re_RMSE,Re_R2,macro_MAPE,parameters,train_seconds,inference_ms_per_trajectory,inference_ms_per_trajectory_repeat_std,latency_repeats,n_eval_rows,n_eval_cells,epochs,device
42,TCN_full9_rollout,3.3674068979232046,0.1530906963413146,0.6840454301754365,0.6192670023519727,0.16631142459682965,0.9904286953182622,1.9933369501375886,119234,3.204895689000068,12.54149724499996,0.5013438398378532,100,76,10,109,Tesla T4
52,TCN_full9_rollout,3.0852998098904014,0.11695360145728431,0.8156028331110762,1.5852941996586039,0.32289496777602156,0.9639214124106251,2.3352970047745027,119234,1.594275897999978,12.518409539000459,0.3209428422127239,100,76,10,78,Tesla T4
62,TCN_full9_rollout,3.440013237737552,0.14327133028875375,0.7232767618793504,0.9369371382621758,0.2275812877645473,0.982077438677232,2.188475187999864,119234,2.5555702770000153,12.54760040899987,0.48461009562149654,100,76,10,146,Tesla T4
72,TCN_full9_rollout,2.2088340296220297,0.09267347195372594,0.8842188358312151,0.5830738546555403,0.1500008727084891,0.992213997379842,1.395953942138785,119234,1.9508180020000054,12.589807344999599,0.36926138655548624,100,76,10,107,Tesla T4
82,TCN_full9_rollout,2.9945895261467737,0.14076971342893374,0.7328559552282562,0.9541149104534488,0.2580686288533736,0.9769539020874883,1.9743522183001112,119234,1.7481900349999933,12.595604755000522,0.44318412580247096,100,76,10,89,Tesla T4
