model,protocol,variant,target,MAPE,RMSE,R2,n_features,features,seconds
LSTM_main,teacher_forced,No_Rct0,Q,3.8051172413065584,0.11185416998063472,0.8313325018177969,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0",3.9740593433380127
LSTM_main,teacher_forced,No_Rct0,Re,3.425393416928059,0.7092721521565951,0.8259184314277392,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0",3.9740593433380127
LSTM_main,teacher_forced,No_Rct0,macro_avg,3.615255329117309,0.4105631610686149,0.8286254666227681,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0",3.9740593433380127
LSTM_main,autoregressive_rollout,No_Rct0,Q,4.067845574599192,0.11799501510044605,0.8123042821412176,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0",4.135108232498169
LSTM_main,autoregressive_rollout,No_Rct0,Re,3.522004607059454,0.7341637346708361,0.8134854014494759,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0",4.135108232498169
LSTM_main,autoregressive_rollout,No_Rct0,macro_avg,3.7949250908293233,0.42607937488564107,0.8128948417953468,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0",4.135108232498169
LSTM_main,teacher_forced,No_Q0,Q,3.420333849146501,0.10550651161699282,0.8499328715097787,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Re0,Rct0",3.745572090148926
LSTM_main,teacher_forced,No_Q0,Re,3.6858133039936103,0.9754684794694415,0.67072902099044,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Re0,Rct0",3.745572090148926
LSTM_main,teacher_forced,No_Q0,macro_avg,3.5530735765700556,0.5404874955432172,0.7603309462501093,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Re0,Rct0",3.745572090148926
LSTM_main,autoregressive_rollout,No_Q0,Q,3.445928172698367,0.1063566200222782,0.8475048264511109,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Re0,Rct0",3.9056007862091064
LSTM_main,autoregressive_rollout,No_Q0,Re,3.745997074031846,0.984784013220618,0.6644100446047052,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Re0,Rct0",3.9056007862091064
LSTM_main,autoregressive_rollout,No_Q0,macro_avg,3.5959626233651063,0.5455703166214482,0.7559574355279081,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Re0,Rct0",3.9056007862091064
