model,protocol,variant,target,MAPE,RMSE,R2,n_features,features,seconds,Full9_MAPE,Delta_vs_Full9
LSTM_main,teacher_forced,No_Re0,macro_avg,3.5462108793244402,0.5196756047024315,0.7783891993651708,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Rct0",4.508755207061768,3.1100119909600097,0.43619888836443055
LSTM_main,teacher_forced,No_Q0,macro_avg,3.5530735765700556,0.5404874955432172,0.7603309462501093,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Re0,Rct0",3.745572090148926,3.1100119909600097,0.44306158561004594
LSTM_main,teacher_forced,No_Rct0,macro_avg,3.615255329117309,0.4105631610686149,0.8286254666227681,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0",3.9740593433380127,3.1100119909600097,0.5052433381572992
LSTM_main,teacher_forced,k_Re0_Q0,macro_avg,3.7213109079497046,0.43528335788652706,0.7887724132089655,3,"k_exp,Re0,Q0",3.91969895362854,3.1100119909600097,0.611298916989695
LSTM_main,teacher_forced,No_Re0_Rct0,macro_avg,4.175981931607346,0.6309420468894615,0.6961139369066599,7,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0",3.8800735473632812,3.1100119909600097,1.0659699406473364
LSTM_main,teacher_forced,No_k_exp,macro_avg,4.370403481363518,0.5386973286375105,0.7423577077213339,8,"temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.6586484909057617,3.1100119909600097,1.2603914904035087
PINN_phys,pointwise,PINNfeat_k_Re0_Rct0_Q0_EaStress,macro_avg,7.200655355605152,1.1273975135997825,0.5410796022058758,6,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean",3.155041456222534,10.084801785979852,-2.8841464303747006
PINN_phys,pointwise,PINNfeat_no_stress,macro_avg,7.808659478635452,1.2343408273043406,0.4441664801097379,5,"k_exp,Re0,Rct0,Q0,Ea_kJ_mol_mean",4.304346799850464,10.084801785979852,-2.2761423073444007
PINN_phys,pointwise,No_Q0,macro_avg,8.249123144512664,1.2748995197420911,0.49581654401969044,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Re0,Rct0",3.6513218879699707,10.084801785979852,-1.8356786414671884
PINN_phys,pointwise,PINNfeat_k_Re0_Q0_EaStress,macro_avg,8.311179245886054,1.1619461429209452,0.4046561233212394,5,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean",3.254765033721924,10.084801785979852,-1.7736225400937986
