method,IGD_plus_mean,IGD_plus_sd,LOO_IGD_mean,LOO_IGD_sd,n
NSGA-II,0.040469426735045735,0.01046122575125226,0.05814403470880044,0.017706578161507246,15
NSGA-III,0.059506156512655804,0.01256028667170915,0.08123171078938746,0.014767357723659547,15
Random,0.07151164976572352,0.009126129526230192,0.09392715725534345,0.0190537790653161,15
