configuration,n,sd,minimum,maximum,IQR,range
Manual,10,0.22697524488693047,1.545370793238007,2.252768829046901,0.343205498865784,0.707398035808894
NSGA-II,10,0.37158099604191486,1.109178400093995,2.212033883652999,0.5023531665608008,1.102855483559004
NSGA-III,10,0.3493908199177867,1.029486943936208,2.2912629141526675,0.3463388714110587,1.2617759702164595
Random,10,0.1554341308599631,1.561457921044092,2.0497946597264125,0.17790410147619018,0.4883367386823205
