method,front_size_mean,front_size_sd,spacing_mean,spacing_sd,n
NSGA-II,20.733333333333334,5.391351098441528,0.08401766192618584,0.06176422468805499,15
NSGA-III,21.133333333333333,4.564876256602717,0.08237815719530096,0.04986439455331906,15
Random,21.466666666666665,4.34028746030666,0.07027289344989948,0.04370023896024021,15
