fold,LSTM_main_full9_rollout,LSTM_main_full9_teacher_forced,LSTM_sparse_k_Re0_rollout,PINN_phys_full9,PINN_pred_full9,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout
1,2.0910818512680933,1.950613488691888,2.3916907410564043,8.164786434541337,7.604225228196867,3.768864681964861,2.45397400787504
2,2.625306431760375,2.4912586633716645,2.7218994634429885,7.769683356965816,7.413171185983277,2.393001651244447,2.6039580327793943
3,0.9620444527453288,0.7879624447384976,1.380077933253835,8.489600886536497,7.858120793644848,1.59180605012267,1.634597664977058
4,0.9761980693310488,0.816397805395209,1.0651162135198535,7.805392756950326,7.566298466453906,1.4775000185025475,1.1546871877652674
5,1.480208035204231,1.226485886801825,1.8395585453693173,8.014266902446824,7.360233499158658,1.2127636885144766,2.5910712976819594
