configuration,n,macro_MAPE_mean,macro_MAPE_std,macro_MAPE_ci95_low,macro_MAPE_ci95_high,Q_MAPE_mean,Q_MAPE_std,Q_MAPE_ci95_low,Q_MAPE_ci95_high,Re_MAPE_mean,Re_MAPE_std,Re_MAPE_ci95_low,Re_MAPE_ci95_high,parameters_mean,parameters_std,parameters_ci95_low,parameters_ci95_high,latency_ms_mean,latency_ms_std,latency_ms_ci95_low,latency_ms_ci95_high,train_seconds_mean,train_seconds_std,train_seconds_ci95_low,train_seconds_ci95_high
Manual,10,1.8558617593783182,0.2269752448869305,1.7228971412462546,1.9921156291641189,2.846586601723895,0.33202644300848677,2.6458197241165418,3.0440878674581433,0.8651369170327412,0.23229076526870499,0.7326239056251146,1.0080368615579614,486978.0,0.0,486978.0,486978.0,0.6955857563018798,0.0013744502159117348,0.6948207664489746,0.6964206839799881,16.482361864299673,2.8692875698741585,14.974557564604238,18.300290932156795
NSGA-II,10,1.809731759650696,0.37158099604191486,1.5764159772274273,2.010672070377611,2.8147070450990515,0.6224357756887939,2.413761175539593,3.140725583821385,0.8047564742023411,0.18314633450104553,0.6994026138376226,0.9156156439554524,36418.0,0.0,36418.0,36418.0,0.42482832193374637,0.020164782506613445,0.4131714837551117,0.43673684126138684,6.2267358192995745,0.4524623021002863,5.933755080774008,6.468323758605302
NSGA-III,10,1.8715836627781464,0.3493908199177867,1.6387489383632394,2.0533115780125115,2.6917904211078993,0.753147196621461,2.2130445524330753,3.106309006931426,1.0513769044483934,0.18622990434274672,0.9393135389939917,1.1611053947925707,36418.0,0.0,36418.0,36418.0,0.42194687843322753,0.015749995049715304,0.4130771505832672,0.4314224311113357,4.690230961999623,0.33640494634374135,4.491444199029838,4.881439226588773
Random,10,1.8621834132653305,0.15543413085996308,1.7684586835503422,1.9484986380440084,2.8970032374993755,0.37436566505875535,2.6637539781066533,3.0977642908053955,0.8273635890312864,0.1423282689526666,0.7473640688442768,0.9143093713124429,36418.0,0.0,36418.0,36418.0,0.41304864406585684,0.017548150066918667,0.40273473012447353,0.42317658853530876,6.460537777000718,0.2909482083816925,6.274329929801388,6.616485346459903
