seed,model,Q_MAPE,Q_RMSE,Q_R2,Re_MAPE,Re_RMSE,Re_R2,macro_MAPE,train_seconds,inference_seconds,inference_ms_per_trajectory,n_eval_rows,n_eval_cells,epochs
42,TCN_full9_rollout,2.945574776401642,0.12192288180115253,0.7996001082149833,0.841962932890411,0.22325995559733586,0.9827516068770652,1.8937688546460265,26.70091310000862,0.16995869990205392,16.995869990205392,76,10,93
52,TCN_full9_rollout,3.0300125143633827,0.10589632608218244,0.8488219181986034,1.529726224246443,0.3128198316696195,0.9661377719721337,2.2798693693049126,16.358734000008553,0.1556018998089712,15.560189980897121,76,10,56
62,TCN_full9_rollout,3.719648133701678,0.14979182239075658,0.6975154108909767,1.3034479189502104,0.31280340062226575,0.9661413291459667,2.5115480263259444,27.464424699981464,0.1960634000133723,19.60634000133723,76,10,94
72,TCN_full9_rollout,3.0773973500212115,0.12659835806372027,0.7839356127149806,0.9487848682347715,0.20775721127604813,0.9850638320572029,2.0130911091279913,26.139484599989373,0.16304810016299598,16.304810016299598,76,10,91
82,TCN_full9_rollout,2.767176721166405,0.11547764438479667,0.8202276578632189,0.7191200320381689,0.15210155880087012,0.9919943923136414,1.7431483766022868,37.21213680002256,0.16935049995663576,16.935049995663576,76,10,134
