,macro_MAPE,Q_MAPE,Re_MAPE,train_seconds,inference_ms_per_trajectory
mean,2.0882851472014323,3.1079618991308635,1.068608395272001,26.775138640002115,17.080451996880583
std,0.30759799286352,0.36182677587482026,0.33750822707201533,7.387778708417763,1.5265339128357736
