model,mean_Q_MAPE,std_Q_MAPE,mean_SOH_MAPE,std_SOH_MAPE,seeds,n_eval_rows,n_eval_cells
target_only_LSTM_from_scratch,4.233551010869498,0.23620708853606248,4.233551010869498,0.23620708853606212,5,246,40
SOH_sqrt_fade,4.385221427808871,,4.385221427808871,,0,246,40
SOH_linear_fade,6.752786662319071,,6.752786662319073,,0,246,40
SOH_last_observation_persistence,6.990855292730588,,6.990855292730588,,0,246,40
source_pretrained_head_adapted,11.720338351180882,0.14465248038719125,11.720338351180882,0.14465248038718967,5,246,40
SOH_BOL_persistence,21.96079865213041,,21.96079865213041,,0,246,40
