stage,epoch,train_loss,validation_loss,seed,calibration_loss
source_pretraining,1,0.36687785387039185,0.32001304626464844,42,
source_pretraining,2,0.3451342433691025,0.30477702617645264,42,
source_pretraining,3,0.31420986354351044,0.28559979796409607,42,
source_pretraining,4,0.28460952639579773,0.25960564613342285,42,
source_pretraining,5,0.255346454679966,0.22549504041671753,42,
source_pretraining,6,0.21303702890872955,0.19543588161468506,42,
source_pretraining,7,0.1562211662530899,0.21352329850196838,42,
source_pretraining,8,0.146752767264843,0.2447625994682312,42,
source_pretraining,9,0.1711677685379982,0.2209804505109787,42,
source_pretraining,10,0.1567809134721756,0.1912636011838913,42,
source_pretraining,11,0.13678833097219467,0.1750253289937973,42,
source_pretraining,12,0.13014273345470428,0.16704000532627106,42,
source_pretraining,13,0.12113689258694649,0.16249558329582214,42,
source_pretraining,14,0.1367177590727806,0.16034157574176788,42,
source_pretraining,15,0.11642665416002274,0.15946710109710693,42,
source_pretraining,16,0.10679462552070618,0.15949219465255737,42,
source_pretraining,17,0.10818116366863251,0.16012956202030182,42,
source_pretraining,18,0.10357183590531349,0.15987345576286316,42,
source_pretraining,19,0.10697142779827118,0.15586251020431519,42,
source_pretraining,20,0.09165192767977715,0.1454876810312271,42,
source_pretraining,21,0.08565360680222511,0.13085177540779114,42,
source_pretraining,22,0.0838194489479065,0.11254122853279114,42,
source_pretraining,23,0.08038651198148727,0.09003762155771255,42,
source_pretraining,24,0.070085808634758,0.0726051852107048,42,
source_pretraining,25,0.055156925693154335,0.060677628964185715,42,
source_pretraining,26,0.05827990174293518,0.057994596660137177,42,
source_pretraining,27,0.050899332389235497,0.05711359903216362,42,
source_pretraining,28,0.05301987566053867,0.055805571377277374,42,
source_pretraining,29,0.043074315413832664,0.05494101345539093,42,
source_pretraining,30,0.038821741938591,0.05119190737605095,42,
source_pretraining,31,0.0375384297221899,0.049985069781541824,42,
source_pretraining,32,0.033087425865232944,0.05073506757616997,42,
source_pretraining,33,0.03571881540119648,0.05024935305118561,42,
