model,seed,Q_MAPE,SOH_MAPE,n_eval_rows,n_eval_cells
SOH_BOL_persistence,,21.96079865213041,21.96079865213041,246,40
SOH_last_observation_persistence,,6.990855292730588,6.990855292730588,246,40
SOH_linear_fade,,6.752786662319071,6.752786662319073,246,40
SOH_sqrt_fade,,4.385221427808871,4.385221427808871,246,40
source_pretrained_head_adapted,42.0,11.614112312064211,11.614112312064211,246,40
target_only_LSTM_from_scratch,42.0,4.4417263706127965,4.4417263706127965,246,40
source_pretrained_head_adapted,52.0,11.898956857869523,11.89895685786952,246,40
target_only_LSTM_from_scratch,52.0,3.9134487009643206,3.913448700964322,246,40
source_pretrained_head_adapted,62.0,11.608021733517452,11.608021733517454,246,40
target_only_LSTM_from_scratch,62.0,4.080037471686322,4.080037471686322,246,40
source_pretrained_head_adapted,72.0,11.623902774774887,11.623902774774887,246,40
target_only_LSTM_from_scratch,72.0,4.269894515393177,4.269894515393176,246,40
source_pretrained_head_adapted,82.0,11.856698077678338,11.856698077678336,246,40
target_only_LSTM_from_scratch,82.0,4.46264799569087,4.46264799569087,246,40
